,mean,std,min,25%,50%,75%,max,slope,kurt,skew,label
mean,1.0,-0.9317,0.9583,0.9847,0.9597,0.7363,0.1394,0.7144,0.5895,-0.0401,-0.5932
std,-0.9317,1.0,-0.9782,-0.961,-0.8597,-0.4925,0.1399,-0.6857,-0.5537,0.0477,0.7127
min,0.9583,-0.9782,1.0,0.9577,0.8828,0.6052,-0.029,0.7015,0.5488,0.0423,-0.7144
25%,0.9847,-0.961,0.9577,1.0,0.9307,0.6531,0.0567,0.6869,0.6086,-0.0783,-0.6074
50%,0.9597,-0.8597,0.8828,0.9307,1.0,0.707,0.164,0.7496,0.5552,-0.132,-0.5206
75%,0.7363,-0.4925,0.6052,0.6531,0.707,1.0,0.5082,0.3872,0.3886,0.0653,-0.2877
max,0.1394,0.1399,-0.029,0.0567,0.164,0.5082,1.0,-0.0736,0.1792,0.1966,0.2676
slope,0.7144,-0.6857,0.7015,0.6869,0.7496,0.3872,-0.0736,1.0,0.475,-0.1937,-0.5293
kurt,0.5895,-0.5537,0.5488,0.6086,0.5552,0.3886,0.1792,0.475,1.0,-0.025,-0.3696
skew,-0.0401,0.0477,0.0423,-0.0783,-0.132,0.0653,0.1966,-0.1937,-0.025,1.0,-0.0975
label,-0.5932,0.7127,-0.7144,-0.6074,-0.5206,-0.2877,0.2676,-0.5293,-0.3696,-0.0975,1.0
