,Combinations,Inertia,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information
0,['mean'],14.216587555375236,0.6567625790660575,0.495215761493203,0.6292908725391336
1,['std'],15.297617094987496,0.6518734036641781,0.538943555719068,0.6679680890074124
2,['min'],12.947379714365322,0.7531471192629913,0.9815313947724911,0.9508532378300865
3,['25%'],12.771377486683969,0.6892976186202623,0.5176180902252753,0.6479762917094998
4,['50%'],23.4330534798525,0.64972883200673,0.4437324216746205,0.5438088919244586
5,['75%'],37.55370332518101,0.5323710265127723,0.18361081727642622,0.2622303911359118
6,['max'],31.582662171780203,0.6117647190847522,0.036680069240896264,0.11747803073330154
7,['slope'],39.14820907945157,0.5765694487330933,0.32697301513758986,0.38897789638264196
8,['kurt'],34.47923521389896,0.7050569067802956,0.3649388233786382,0.2594170162272387
9,['skew'],56.253018422109584,0.6088814320207409,0.22880005286686503,0.15302870700256815
10,"['mean', 'std']",38.70612118301698,0.5865332645926071,0.5374893461753737,0.690308239818927
11,"['mean', 'min']",31.790546515004994,0.5857425804002852,0.5310162356451034,0.688453466152666
12,"['mean', '25%']",29.623490131860695,0.639275932239569,0.49583229143510654,0.6294551235533644
13,"['mean', '50%']",44.62475253365158,0.606552738554933,0.5275840966396479,0.6221552068984686
14,"['mean', '75%']",81.96529869776002,0.5367384610400555,0.4942909639948146,0.6290448219970974
15,"['mean', 'max']",121.03234907982552,0.5592546949222748,0.5654643275440219,0.583797866638555
16,"['mean', 'slope']",88.64016859771637,0.5096816345518663,0.5107698635687652,0.6311079074131553
17,"['mean', 'kurt']",99.43563877038609,0.6494879635305851,0.8333394186792445,0.739018913971979
18,"['mean', 'skew']",128.00709989569347,0.6105811738098268,0.8107459596245827,0.6874022368354098
19,"['std', 'min']",30.787207031157863,0.6046441147146405,0.5264716734623208,0.6522648025150616
20,"['std', '25%']",33.37124248747631,0.6338910622070159,0.5310942150559383,0.672893335148159
21,"['std', '50%']",57.04350154018586,0.5575556859226964,0.5429646360509613,0.6669615823275132
22,"['std', '75%']",90.71014627326294,0.5453058711230301,0.5317097904732384,0.6886512334036168
23,"['std', 'max']",105.74854173286401,0.5778059219578285,0.5828645820606754,0.6215467739799476
24,"['std', 'slope']",90.65202656119783,0.49426891856548727,0.5437357223592743,0.6466404670824704
25,"['std', 'kurt']",103.69807825733457,0.6411786415078662,0.8944371862281931,0.8096359282693486
26,"['std', 'skew']",129.90830047440812,0.6086754469258681,0.78175880640624,0.6878564671131655
27,"['min', '25%']",28.867941147503696,0.6276421526227107,0.5297832449749833,0.6881024429963775
28,"['min', '50%']",46.67651293552235,0.5875306659516805,0.5576012553744093,0.6962030274799754
29,"['min', '75%']",77.71587336297287,0.5667380221208534,0.5303222851336499,0.6728786863993231
30,"['min', 'max']",103.2923478493823,0.5982879895255888,0.5791658536775672,0.629213738275984
31,"['min', 'slope']",77.92093857181148,0.5346174505011175,0.5391096617175797,0.6514141659261607
32,"['min', 'kurt']",92.34208007148995,0.684076915581319,0.9115188407143129,0.8426509356156494
33,"['min', 'skew']",119.19651208411253,0.6383769287775928,0.8505488484878683,0.7453882785062163
34,"['25%', '50%']",47.383027661518845,0.5928579710917319,0.5095390307090274,0.6304005547930781
35,"['25%', '75%']",89.00002920462912,0.5245793137408303,0.48297408525365176,0.6146326764213133
36,"['25%', 'max']",121.94326953411537,0.5511914218867718,0.5828645820606754,0.6215467739799477
37,"['25%', 'slope']",91.95231879938868,0.5017912502937224,0.4930013821434762,0.5919881062617404
38,"['25%', 'kurt']",101.8871068907555,0.6395053732518118,0.8441139661685929,0.7434353959030808
39,"['25%', 'skew']",129.00580026294443,0.577630600345317,0.6950375021192651,0.6054269574206921
40,"['50%', '75%']",109.15377106516397,0.4741857629117864,0.4046827220754859,0.5353835391740261
41,"['50%', 'max']",138.40672659668974,0.5059212102367142,0.5057120602196874,0.5148531186907767
42,"['50%', 'slope']",103.64801967451515,0.4763157061838441,0.45722006700502327,0.5470877053683567
43,"['50%', 'kurt']",124.92086335111144,0.5676076230402809,0.6606553087438952,0.5899927336530464
44,"['50%', 'skew']",147.64934565401146,0.5282562825120197,0.5723873319387734,0.5248510586589243
45,"['75%', 'max']",128.1677608812633,0.4904160798901944,0.215029742136318,0.3044618974444939
46,"['75%', 'slope']",153.527486393426,0.44714860584746663,0.35610862572115926,0.4697166970072705
47,"['75%', 'kurt']",170.39612172009896,0.4581483672543564,0.2634518288097098,0.36933230051595145
48,"['75%', 'skew']",181.19288594628298,0.4391768497250367,0.21329619865832744,0.25257138682642505
49,"['max', 'slope']",164.4406977729864,0.4487668520809592,0.3270903088934999,0.371742331087564
50,"['max', 'kurt']",180.3968408184159,0.5279317987612331,0.2207974616310159,0.26664041984097214
51,"['max', 'skew']",192.64869859405658,0.40803172370604485,0.05783408329937001,0.09028394619728199
52,"['slope', 'kurt']",160.62385665166113,0.4862520913336094,0.5883158569143571,0.5396977936244218
53,"['slope', 'skew']",179.33069648205725,0.4751582582257592,0.529830534912683,0.4440087045619388
54,"['kurt', 'skew']",157.7389580945132,0.5982809874675086,0.23554103915093785,0.14931040570608461
55,"['mean', 'std', 'min']",52.97684060718531,0.5758060674425287,0.5360252035258175,0.6898869453820767
56,"['mean', 'std', '25%']",53.5379750556993,0.6014777887012306,0.5298603070534535,0.6881243608725341
57,"['mean', 'std', '50%']",76.91583992217275,0.5498456463629325,0.5372597187324144,0.6745428048989516
58,"['mean', 'std', '75%']",121.7774169972997,0.5267182657923453,0.5187744476254095,0.6636766788905445
59,"['mean', 'std', 'max']",168.0794008733574,0.5587286634998201,0.587024502401362,0.6205531364111329
60,"['mean', 'std', 'slope']",125.86560744981708,0.4740989388909045,0.5372570019235011,0.6749699868284023
61,"['mean', 'std', 'kurt']",142.29927806608515,0.6637226077470071,0.9072077820279295,0.8460870041559442
62,"['mean', 'std', 'skew']",168.48753284149458,0.603843635934024,0.8128242182302549,0.702167713322978
63,"['mean', 'min', '25%']",47.0309652317915,0.6074422141651532,0.5300914931595937,0.6881901313403719
64,"['mean', 'min', '50%']",67.32399146010489,0.5596422692756805,0.5298603070534535,0.6881243608725341
65,"['mean', 'min', '75%']",108.92630329879502,0.5428010959571293,0.5325574662265816,0.6888932595896853
66,"['mean', 'min', 'max']",161.47829558568452,0.5667991678089381,0.6059716951951284,0.6564099200587022
67,"['mean', 'min', 'slope']",111.68817644143478,0.5028711316690813,0.5372570019235011,0.6749699868284021
68,"['mean', 'min', 'kurt']",128.40308447122908,0.6918933215885336,0.9072077820279295,0.8460870041559441
69,"['mean', 'min', 'skew']",153.6492128542682,0.6335263225737509,0.8406893165887624,0.7338444683818428
70,"['mean', '25%', '50%']",63.80109414936005,0.5898234883246465,0.5061476414156505,0.6295819133849196
71,"['mean', '25%', '75%']",116.18731092650377,0.5224544756564655,0.49475336313183954,0.6291677984328485
72,"['mean', '25%', 'max']",180.1173751786354,0.5535544487833485,0.5931195256791268,0.5976706328118797
73,"['mean', '25%', 'slope']",123.2444750736152,0.48867694852257243,0.5261855450447577,0.6347445527947011
74,"['mean', '25%', 'kurt']",135.1071963391235,0.6738649277906407,0.8499604422750084,0.7572580224321889
75,"['mean', '25%', 'skew']",162.58049271435507,0.6066121267383321,0.7855736061141677,0.6758275300346875
