,Combinations,Inertia,Silhouette Score,Adjusted Rand Index
0,['sepal length (cm)'],23.066606857360323,0.5528150902455021,0.3599968548052845
1,['sepal width (cm)'],27.685577478065007,0.563186419515744,0.1549369891207322
2,['petal length (cm)'],7.867216083269201,0.6781767245923344,0.8509627406851713
3,['petal width (cm)'],8.456319085616101,0.7268315079591694,0.8856970310281228
4,"['sepal length (cm)', 'sepal width (cm)']",101.93275650339022,0.4343127417064958,0.5462019470776831
5,"['sepal length (cm)', 'petal length (cm)']",42.747794049394436,0.5445015263940104,0.5634459557571242
6,"['sepal length (cm)', 'petal width (cm)']",50.80051887672029,0.5088936070547134,0.604543219109321
7,"['sepal width (cm)', 'petal length (cm)']",74.61683822620684,0.47379200188215503,0.5300192931435656
8,"['sepal width (cm)', 'petal width (cm)']",78.70656915982289,0.46242409444116334,0.591074989499268
9,"['petal length (cm)', 'petal width (cm)']",17.906782861793776,0.6741313115159399,0.8856970310281228
10,"['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)']",118.34475506500713,0.45943185768025824,0.5717394882425835
11,"['sepal length (cm)', 'sepal width (cm)', 'petal width (cm)']",124.49687671097574,0.4501086209795388,0.5710590418587337
12,"['sepal length (cm)', 'petal length (cm)', 'petal width (cm)']",62.705838675134174,0.5390464294670981,0.7149297829556379
13,"['sepal width (cm)', 'petal length (cm)', 'petal width (cm)']",94.68325902465382,0.4796045238404819,0.6552683097146879
14,"['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)']",138.88835971735136,0.45994823920518635,0.6201351808870379
