,Combinations,Inertia,Silhouette Score,Adjusted Rand Index
0,['mean'],30.087236412235377,0.5188791049521778,0.007468129749720568
1,['std'],30.57827684755437,0.5136864192061839,0.002935004821919368
2,['min'],34.80971306266802,0.5438707380611923,0.024444503324640706
3,['25%'],24.316661185720857,0.5354221449051205,0.11268673538169381
4,['50%'],28.74173619605069,0.5532274177168042,0.0313670631457775
5,['75%'],23.184796713727923,0.6052033455680559,0.07815320961404612
6,['max'],33.69946604311665,0.6341735366133033,0.15723919365047714
7,"['mean', 'std']",139.72953881296712,0.336681211133416,-0.0067599695039869965
8,"['mean', 'min']",140.897605586029,0.34450506020639227,0.02310483278922982
9,"['mean', '25%']",127.57091881998036,0.3676801821060381,0.1202092967849517
10,"['mean', '50%']",128.69324098408626,0.3798169459907259,0.002272874896412235
11,"['mean', '75%']",124.57558577356345,0.37676251137137795,0.022198209212399084
12,"['mean', 'max']",145.33754916656045,0.3885888576022241,0.0610243748309277
13,"['std', 'min']",136.425151747214,0.3661607714480401,0.0004106129910596352
14,"['std', '25%']",132.37792061333323,0.36479139217018614,0.09817201048440026
15,"['std', '50%']",130.97716471501556,0.3750302782418583,0.008587017950438088
16,"['std', '75%']",125.66643120477161,0.3880413904607285,0.03243081637973891
17,"['std', 'max']",150.53475776336612,0.35714388518552126,0.11241228008700634
18,"['min', '25%']",126.46126356266234,0.37293635627336386,0.13226759514989747
19,"['min', '50%']",123.94360955444348,0.3959508033145008,0.09145928875752787
20,"['min', '75%']",121.46669989312069,0.3534285825141284,0.03371524245439698
21,"['min', 'max']",146.0455435418641,0.37451562842309977,0.24317162919411564
22,"['25%', '50%']",95.01133269838556,0.4101654548898377,0.088648209999462
23,"['25%', '75%']",102.47430062874798,0.4211341099018007,0.13996574649311735
24,"['25%', 'max']",108.72981764139239,0.4877552034542204,0.2177546055483454
25,"['50%', '75%']",132.14264822272534,0.37405946284395436,0.058016194420665045
26,"['50%', 'max']",114.75612744093633,0.3609155015098477,0.06154169530916973
27,"['75%', 'max']",109.74195698159859,0.4178060970759026,0.15479350504794154
28,"['mean', 'std', 'min']",283.4157199120084,0.22972162165892854,0.034826378025243306
29,"['mean', 'std', '25%']",272.63980202696735,0.2538333625142797,0.09959222453660413
30,"['mean', 'std', '50%']",278.6159836784442,0.2432589340691134,-0.0021813971594164564
31,"['mean', 'std', '75%']",270.5961371158487,0.25760416111544426,0.026320445514127228
32,"['mean', 'std', 'max']",281.17651464152885,0.24462421609453797,0.02571630275966297
33,"['mean', 'min', '25%']",257.6321059848391,0.26540985662587185,0.14945347305910786
34,"['mean', 'min', '50%']",264.62890878420774,0.26532486330251714,0.004567168445188822
35,"['mean', 'min', '75%']",241.5344403669943,0.27659780374984866,0.026172213896073042
36,"['mean', 'min', 'max']",289.97076673370594,0.2237837978639069,-0.0012446665652556409
37,"['mean', '25%', '50%']",217.21355744518746,0.3193323209449113,0.06262599746906078
38,"['mean', '25%', '75%']",241.61921402130108,0.28722834076811665,0.18327944648033098
39,"['mean', '25%', 'max']",225.84548287531996,0.32176628787994216,0.13631630622341426
40,"['mean', '50%', '75%']",273.8842284239301,0.2554969326931525,0.026098127299201083
41,"['mean', '50%', 'max']",231.01828860042193,0.3139153256041491,0.08517173936685951
42,"['mean', '75%', 'max']",240.44836580578064,0.2875856812115306,0.054463085860359424
43,"['std', 'min', '25%']",254.1645394920665,0.2596314850451573,0.1074510080585056
44,"['std', 'min', '50%']",264.69342061654777,0.268474725873153,0.007697370515091175
45,"['std', 'min', '75%']",244.252215275752,0.2823452285128576,0.021755405866202927
46,"['std', 'min', 'max']",281.84659445684946,0.25761953962418443,0.07213684488865739
47,"['std', '25%', '50%']",224.69373854940883,0.30345644359005075,0.02788374321188979
48,"['std', '25%', '75%']",248.44623157660956,0.2764966598755061,0.1260711275572308
49,"['std', '25%', 'max']",238.38474641157012,0.29776866018501397,0.12085863219754654
50,"['std', '50%', '75%']",270.4166830250969,0.26576583416303695,0.012899172033586063
51,"['std', '50%', 'max']",238.19181067389025,0.2935298111304532,0.05291065150522233
52,"['std', '75%', 'max']",239.690763708977,0.2919785117219809,0.04650004600699804
53,"['min', '25%', '50%']",195.80389888810865,0.3712447263139131,0.08979871712842247
54,"['min', '25%', '75%']",221.9966260994887,0.30410705970192403,0.1280697459279309
55,"['min', '25%', 'max']",217.18948382186682,0.3504133557952842,0.17934548599366223
56,"['min', '50%', '75%']",240.88413968139895,0.34065175033312667,0.16342263186263856
57,"['min', '50%', 'max']",233.89763848541602,0.30253692739701576,0.15401530109752118
