Combinations,Inertia,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information
['mean'],14.2166,0.6568,0.4952,0.6293
['std'],15.2976,0.6519,0.5389,0.668
['min'],12.9474,0.7531,0.9815,0.9509
['25%'],12.7714,0.6893,0.5176,0.648
['50%'],23.4331,0.6497,0.4437,0.5438
['75%'],37.5537,0.5324,0.1836,0.2622
['max'],31.5827,0.6118,0.0367,0.1175
['slope'],39.1482,0.5766,0.327,0.389
['kurt'],34.4792,0.7051,0.3649,0.2594
['skew'],56.253,0.6089,0.2288,0.153
"['mean', 'std']",38.7061,0.5865,0.5375,0.6903
"['mean', 'min']",31.7905,0.5857,0.531,0.6885
"['mean', '25%']",29.6235,0.6393,0.4958,0.6295
"['mean', '50%']",44.6248,0.6066,0.5276,0.6222
"['mean', '75%']",81.9653,0.5367,0.4943,0.629
"['mean', 'max']",121.0323,0.5593,0.5655,0.5838
"['mean', 'slope']",88.6402,0.5097,0.5108,0.6311
"['mean', 'kurt']",99.4356,0.6495,0.8333,0.739
"['mean', 'skew']",128.0071,0.6106,0.8107,0.6874
"['std', 'min']",30.7872,0.6046,0.5265,0.6523
"['std', '25%']",33.3712,0.6339,0.5311,0.6729
"['std', '50%']",57.0435,0.5576,0.543,0.667
"['std', '75%']",90.7101,0.5453,0.5317,0.6887
"['std', 'max']",105.7485,0.5778,0.5829,0.6215
"['std', 'slope']",90.652,0.4943,0.5437,0.6466
"['std', 'kurt']",103.6981,0.6412,0.8944,0.8096
"['std', 'skew']",129.9083,0.6087,0.7818,0.6879
"['min', '25%']",28.8679,0.6276,0.5298,0.6881
"['min', '50%']",46.6765,0.5875,0.5576,0.6962
"['min', '75%']",77.7159,0.5667,0.5303,0.6729
"['min', 'max']",103.2923,0.5983,0.5792,0.6292
"['min', 'slope']",77.9209,0.5346,0.5391,0.6514
"['min', 'kurt']",92.3421,0.6841,0.9115,0.8427
"['min', 'skew']",119.1965,0.6384,0.8505,0.7454
"['25%', '50%']",47.383,0.5929,0.5095,0.6304
"['25%', '75%']",89.0,0.5246,0.483,0.6146
"['25%', 'max']",121.9433,0.5512,0.5829,0.6215
"['25%', 'slope']",91.9523,0.5018,0.493,0.592
"['25%', 'kurt']",101.8871,0.6395,0.8441,0.7434
"['25%', 'skew']",129.0058,0.5776,0.695,0.6054
"['50%', '75%']",109.1538,0.4742,0.4047,0.5354
"['50%', 'max']",138.4067,0.5059,0.5057,0.5149
"['50%', 'slope']",103.648,0.4763,0.4572,0.5471
"['50%', 'kurt']",124.9209,0.5676,0.6607,0.59
"['50%', 'skew']",147.6493,0.5283,0.5724,0.5249
"['75%', 'max']",128.1678,0.4904,0.215,0.3045
"['75%', 'slope']",153.5275,0.4471,0.3561,0.4697
"['75%', 'kurt']",170.3961,0.4581,0.2635,0.3693
"['75%', 'skew']",181.1929,0.4392,0.2133,0.2526
"['max', 'slope']",164.4407,0.4488,0.3271,0.3717
"['max', 'kurt']",180.3968,0.5279,0.2208,0.2666
"['max', 'skew']",192.6487,0.408,0.0578,0.0903
"['slope', 'kurt']",160.6239,0.4863,0.5883,0.5397
"['slope', 'skew']",179.3307,0.4752,0.5298,0.444
"['kurt', 'skew']",157.739,0.5983,0.2355,0.1493
"['mean', 'std', 'min']",52.9768,0.5758,0.536,0.6899
"['mean', 'std', '25%']",53.538,0.6015,0.5299,0.6881
"['mean', 'std', '50%']",76.9158,0.5498,0.5373,0.6745
"['mean', 'std', '75%']",121.7774,0.5267,0.5188,0.6637
"['mean', 'std', 'max']",168.0794,0.5587,0.587,0.6206
"['mean', 'std', 'slope']",125.8656,0.4741,0.5373,0.675
"['mean', 'std', 'kurt']",142.2993,0.6637,0.9072,0.8461
"['mean', 'std', 'skew']",168.4875,0.6038,0.8128,0.7022
"['mean', 'min', '25%']",47.031,0.6074,0.5301,0.6882
"['mean', 'min', '50%']",67.324,0.5596,0.5299,0.6881
"['mean', 'min', '75%']",108.9263,0.5428,0.5326,0.6889
"['mean', 'min', 'max']",161.4783,0.5668,0.606,0.6564
"['mean', 'min', 'slope']",111.6882,0.5029,0.5373,0.675
"['mean', 'min', 'kurt']",128.4031,0.6919,0.9072,0.8461
"['mean', 'min', 'skew']",153.6492,0.6335,0.8407,0.7338
"['mean', '25%', '50%']",63.8011,0.5898,0.5061,0.6296
"['mean', '25%', '75%']",116.1873,0.5225,0.4948,0.6292
"['mean', '25%', 'max']",180.1174,0.5536,0.5931,0.5977
"['mean', '25%', 'slope']",123.2445,0.4887,0.5262,0.6347
"['mean', '25%', 'kurt']",135.1072,0.6739,0.85,0.7573
"['mean', '25%', 'skew']",162.5805,0.6066,0.7856,0.6758
"['mean', '50%', '75%']",137.7111,0.4891,0.5047,0.6167
"['mean', '50%', 'max']",200.4983,0.5243,0.5584,0.5728
"['mean', '50%', 'slope']",129.5137,0.5045,0.5345,0.637
"['mean', '50%', 'kurt']",159.6152,0.6324,0.7844,0.6907
"['mean', '50%', 'skew']",185.4277,0.5693,0.7329,0.6325
"['mean', '75%', 'max']",220.1355,0.4982,0.5751,0.5653
"['mean', '75%', 'slope']",196.8198,0.4548,0.4936,0.6135
"['mean', '75%', 'kurt']",227.7642,0.5281,0.7736,0.6981
"['mean', '75%', 'skew']",251.6869,0.4612,0.6211,0.5321
"['mean', 'max', 'slope']",249.4206,0.4651,0.5362,0.5457
"['mean', 'max', 'kurt']",287.4686,0.4724,0.5933,0.6083
"['mean', 'max', 'skew']",341.3424,0.3938,0.5455,0.5388
"['mean', 'slope', 'kurt']",236.8759,0.4806,0.7294,0.5933
"['mean', 'slope', 'skew']",236.7695,0.5155,0.7251,0.6127
"['mean', 'kurt', 'skew']",266.6268,0.5901,0.8039,0.6692
"['std', 'min', '25%']",48.0999,0.6133,0.5326,0.6889
"['std', 'min', '50%']",72.971,0.5465,0.5409,0.6913
"['std', 'min', '75%']",110.8987,0.545,0.5317,0.6887
"['std', 'min', 'max']",149.94,0.5782,0.5892,0.6261
"['std', 'min', 'slope']",112.0883,0.4943,0.5391,0.6514
