,index_real_data,labels
0,0,1
1,96,0
2,192,0
3,288,1
4,384,1
5,480,1
6,576,1
7,672,0
8,768,0
9,864,0
10,960,0
11,1056,1
12,1152,1
13,1248,1
14,1344,1
15,1440,0
16,1536,0
17,1632,1
18,1728,1
19,1824,1
20,1920,1
21,2016,1
22,2112,0
23,2208,0
24,2304,1
25,2400,1
26,2496,1
27,2592,1
28,2688,1
29,2784,0
30,2880,0
31,2976,1
32,3072,1
33,3168,1
34,3264,1
35,3360,1
36,3456,0
37,3552,0
38,3648,1
39,3744,1
40,3840,1
41,3936,1
42,4032,1
43,4128,0
44,4224,0
45,4320,1
46,4416,1
47,4512,1
48,4608,0
49,4704,0
50,4800,0
51,4896,0
52,4992,1
53,5088,1
54,5184,1
55,5280,1
56,5376,1
57,5472,0
58,5568,0
59,5664,0
60,5760,1
61,5856,1
62,5952,1
63,6048,1
64,6144,2
65,6240,2
66,6336,0
67,6432,1
68,6528,1
69,6624,1
70,6720,1
71,6816,0
72,6912,0
73,7008,1
74,7104,1
75,7200,1
76,7296,1
77,7392,1
78,7488,0
79,7584,0
80,7680,1
81,7776,1
82,7872,1
83,7968,1
84,8064,1
85,8160,0
86,8256,0
87,8352,1
88,8448,1
89,8544,1
90,8640,1
91,8736,2
92,8832,0
93,8928,0
94,9024,2
95,9120,2
96,9216,1
97,9312,2
98,9408,2
99,9504,0
100,9600,0
101,9696,2
102,9792,1
103,9888,1
104,9984,2
105,10080,2
106,10176,0
107,10272,0
108,10368,1
109,10464,2
110,10560,2
111,10656,2
112,10752,2
113,10848,0
114,10944,0
115,11040,2
116,11136,1
117,11232,1
118,11328,1
119,11424,1
120,11520,0
121,11616,0
122,11712,1
123,11808,1
124,11904,1
125,12000,1
126,12096,1
127,12192,0
128,12288,0
129,12384,1
130,12480,1
131,12576,1
132,12672,1
133,12768,1
134,12864,0
135,12960,0
136,13056,1
137,13152,1
138,13248,1
139,13344,1
140,13440,1
141,13536,0
142,13632,0
143,13728,1
144,13824,1
145,13920,1
146,14016,1
147,14112,1
148,14208,0
149,14304,0
150,14400,1
151,14496,1
152,14592,1
153,14688,1
154,14784,1
155,14880,0
156,14976,0
157,15072,1
158,15168,1
159,15264,1
160,15360,1
161,15456,1
162,15552,0
163,15648,0
164,15744,1
165,15840,1
166,15936,1
167,16032,1
168,16128,1
169,16224,0
170,16320,0
171,16416,1
172,16512,1
173,16608,1
174,16704,1
175,16800,1
176,16896,0
177,16992,0
178,17088,0
179,17184,1
180,17280,1
181,17376,1
182,17472,1
183,17568,0
184,17664,0
185,17760,1
186,17856,1
187,17952,1
188,18048,1
189,18144,1
190,18240,0
191,18336,0
192,18432,1
193,18528,1
194,18624,1
195,18720,1
196,18816,1
197,18912,0
198,19008,0
199,19104,1
200,19200,1
201,19296,1
202,19392,1
203,19488,1
204,19584,0
205,19680,0
206,19776,1
207,19872,1
208,19968,1
209,20064,1
210,20160,1
211,20256,0
212,20352,0
213,20448,1
214,20544,1
215,20640,1
216,20736,1
217,20832,1
218,20928,0
219,21024,0
220,21120,2
221,21216,1
222,21312,1
223,21408,1
224,21504,1
225,21600,0
226,21696,0
227,21792,1
228,21888,1
229,21984,1
230,22080,1
