,index,symbols,#,%,sum%
0,2,cccccccccccc,102,0.2531017369727047,0.2531017369727047
1,6,cccaaaaaabbb,14,0.034739454094292806,0.2878411910669975
2,4,cccaaaaaaabb,13,0.03225806451612903,0.3200992555831266
3,9,cccbaaaaabbb,12,0.02977667493796526,0.34987593052109184
4,1,bccccccccccc,11,0.02729528535980149,0.3771712158808933
5,3,cccaaaaaabbc,10,0.02481389578163772,0.40198511166253104
6,0,cccbaaaaaabb,9,0.022332506203473945,0.42431761786600497
7,8,cccbaaaaabcc,9,0.022332506203473945,0.4466501240694789
8,15,cccbaaaabbbb,8,0.019851116625310174,0.4665012406947891
9,14,cccbaaaabbcc,7,0.017369727047146403,0.4838709677419355
10,54,cccbbaaabbbb,6,0.01488833746898263,0.4987593052109181
11,57,bccbaaaaabbb,6,0.01488833746898263,0.5136476426799007
12,45,cccaaaaaaaab,6,0.01488833746898263,0.5285359801488834
13,38,cccccbbccccc,5,0.01240694789081886,0.5409429280397022
14,11,cccbaaaabccc,5,0.01240694789081886,0.5533498759305211
15,16,bccbaaaabbbb,5,0.01240694789081886,0.56575682382134
16,47,bbcaaaaaaaab,5,0.01240694789081886,0.5781637717121588
17,48,bbcccccccccc,5,0.01240694789081886,0.5905707196029777
18,69,bbbaaaaaaabb,5,0.01240694789081886,0.6029776674937966
19,5,bbcbaaaaabbb,5,0.01240694789081886,0.6153846153846154
20,7,cccaaaaaabcc,5,0.01240694789081886,0.6277915632754343
21,64,cccbaaaabbbc,4,0.009925558312655087,0.6377171215880894
22,65,cccbaaaaabbc,4,0.009925558312655087,0.6476426799007444
23,12,bccaaaaaabbb,4,0.009925558312655087,0.6575682382133995
24,46,bbcaaaaaaabb,4,0.009925558312655087,0.6674937965260546
25,70,bbcbaaaaaaab,4,0.009925558312655087,0.6774193548387096
26,50,bccbaaaaaabb,4,0.009925558312655087,0.6873449131513647
27,33,ccccccbbcccc,3,0.007444168734491315,0.694789081885856
28,31,cccccbbbcccc,3,0.007444168734491315,0.7022332506203472
29,13,cccaaaaabbcc,3,0.007444168734491315,0.7096774193548385
30,71,bbbaaaaaaaab,3,0.007444168734491315,0.7171215880893298
31,72,bbbccccccccc,3,0.007444168734491315,0.7245657568238211
32,77,bbcaaaaaabbb,3,0.007444168734491315,0.7320099255583123
33,25,cccbbaaabbcc,3,0.007444168734491315,0.7394540942928036
34,79,bccbaaaaaaab,3,0.007444168734491315,0.7468982630272949
35,81,bbcaaaaaaaaa,3,0.007444168734491315,0.7543424317617862
36,82,bbbbaaaaaabb,3,0.007444168734491315,0.7617866004962774
37,86,bbcbaaaaaabb,3,0.007444168734491315,0.7692307692307687
38,98,ccccaaaaabbb,3,0.007444168734491315,0.77667493796526
39,80,bccaaaaaaaab,3,0.007444168734491315,0.7841191066997513
40,75,cccaaaaaaaaa,2,0.004962779156327543,0.7890818858560789
41,106,ccccaaaaaabb,2,0.004962779156327543,0.7940446650124064
42,55,bccbaaaabbbc,2,0.004962779156327543,0.799007444168734
43,51,bccaaaaaaabb,2,0.004962779156327543,0.8039702233250616
44,88,cccaaaaaaabc,2,0.004962779156327543,0.8089330024813892
45,105,bbccaaaaabbc,2,0.004962779156327543,0.8138957816377168
46,111,ccccaaaaabbc,2,0.004962779156327543,0.8188585607940444
47,35,ccccaaaabbbc,2,0.004962779156327543,0.823821339950372
48,26,ccccbaaabccc,2,0.004962779156327543,0.8287841191066996
49,17,cccaaaaabbbc,2,0.004962779156327543,0.8337468982630272
50,10,bccaaaaaabcc,2,0.004962779156327543,0.8387096774193548
51,34,ccccbaabbbcc,2,0.004962779156327543,0.8436724565756824
52,43,cccaaaaabbbb,2,0.004962779156327543,0.8486352357320099
53,42,ccccbaaabbbc,2,0.004962779156327543,0.8535980148883375
54,23,cccbbaaaabbc,2,0.004962779156327543,0.8585607940446651
55,85,bbcaaaaaabbc,1,0.0024813895781637717,0.8610421836228289
56,95,bccaaaaaabab,1,0.0024813895781637717,0.8635235732009927
57,87,bbbaaaaaabbc,1,0.0024813895781637717,0.8660049627791565
58,19,bcccccbbbccc,1,0.0024813895781637717,0.8684863523573203
59,89,bbbaaaaaabbb,1,0.0024813895781637717,0.8709677419354841
60,90,aabbbbcccccc,1,0.0024813895781637717,0.8734491315136479
61,91,cbbaaaaaaabb,1,0.0024813895781637717,0.8759305210918117
62,92,aabaaaaaabbc,1,0.0024813895781637717,0.8784119106699755
63,93,cccccccccbab,1,0.0024813895781637717,0.8808933002481393
64,94,ccccccccabbb,1,0.0024813895781637717,0.8833746898263031
65,20,bbcbaaaaabcc,1,0.0024813895781637717,0.8858560794044669
66,44,bcccaaaabbbc,1,0.0024813895781637717,0.8883374689826307
67,96,abbaaaaaabab,1,0.0024813895781637717,0.8908188585607945
68,83,bbcbaaaaabaa,1,0.0024813895781637717,0.8933002481389583
69,97,bbcbaaaaabbc,1,0.0024813895781637717,0.895781637717122
70,18,ccccccccccbb,1,0.0024813895781637717,0.8982630272952858
71,99,bccbaaaaaacc,1,0.0024813895781637717,0.9007444168734496
72,100,bccbaaaaabbc,1,0.0024813895781637717,0.9032258064516134
73,101,bbcbaaaaaacc,1,0.0024813895781637717,0.9057071960297772
74,102,cccccbabbbbc,1,0.0024813895781637717,0.908188585607941
75,103,cccbaaaaaaaa,1,0.0024813895781637717,0.9106699751861048
76,104,bbccaaaaaabb,1,0.0024813895781637717,0.9131513647642686
77,107,ccccccbbccbb,1,0.0024813895781637717,0.9156327543424324
78,108,bccccbbbbbcc,1,0.0024813895781637717,0.9181141439205962
79,109,bcccaaaabbbb,1,0.0024813895781637717,0.92059553349876
80,110,ccccaaaabccc,1,0.0024813895781637717,0.9230769230769238
81,84,abbaaaaaaacc,1,0.0024813895781637717,0.9255583126550876
82,24,ccccbaaaabbb,1,0.0024813895781637717,0.9280397022332514
83,21,cccbaaaabbcb,1,0.0024813895781637717,0.9305210918114152
84,62,cccccccbcccc,1,0.0024813895781637717,0.933002481389579
85,49,cccaaaaababc,1,0.0024813895781637717,0.9354838709677428
86,41,cccbbbaabbcc,1,0.0024813895781637717,0.9379652605459066
87,52,bccbbaaabbcc,1,0.0024813895781637717,0.9404466501240704
88,53,ccccaaaabbcc,1,0.0024813895781637717,0.9429280397022342
89,40,ccccbbbbbccc,1,0.0024813895781637717,0.945409429280398
90,39,ccccbcbccccc,1,0.0024813895781637717,0.9478908188585617
91,37,ccccababcccc,1,0.0024813895781637717,0.9503722084367255
92,36,ccccaaaabbbb,1,0.0024813895781637717,0.9528535980148893
93,58,bbccbaaabbbb,1,0.0024813895781637717,0.9553349875930531
94,59,bbcbaaaabbbb,1,0.0024813895781637717,0.9578163771712169
95,60,bbbbaaaabbbb,1,0.0024813895781637717,0.9602977667493807
96,61,cccabaaabbbb,1,0.0024813895781637717,0.9627791563275445
